job_id,title,company,city,contract,salary,publish_time,premium,job_url,logo_url
tafy,برنامه‌نویس ارشد Net.,همکاران سیستم | System Group,تهران، تهران,"قرارداد
              تمام‌وقت (برای
                مشاهده حقوق وارد شوید)","قرارداد
              تمام‌وقت",(امروز),False,https://jobinja.ir/companies/system-group/jobs/tafy/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3-%D8%A7%D8%B1%D8%B4%D8%AF-net-%D8%AF%D8%B1-%D9%87%D9%85%DA%A9%D8%A7%D8%B1%D8%A7%D9%86-%D8%B3%DB%8C%D8%B3%D8%AA%D9%85?_ref=16&_t=38362e35352e3135342e3733,https://thumb2.jobinjacdn.com/OTUWE9Dvz3sckhV2I9ym-qXrt80=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/bb36db52-6f9b-11e7-8f15-06a874001fea_8251eb08-fc98-4d42-8d1c-6b94fbc3f4cb/main.jpg
tafb,کارشناس امنیت زیرساخت شبکه های ارتباطی,نوآوران ارتباطات دوران | Douran Group,تهران، تهران,"قرارداد
              تمام‌وقت (برای
                مشاهده حقوق وارد شوید)","قرارداد
              تمام‌وقت",(امروز),False,https://jobinja.ir/companies/douran-group/jobs/tafb/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D8%A7%D9%85%D9%86%DB%8C%D8%AA-%D8%B2%DB%8C%D8%B1%D8%B3%D8%A7%D8%AE%D8%AA-%D8%B4%D8%A8%DA%A9%D9%87-%D9%87%D8%A7%DB%8C-%D8%A7%D8%B1%D8%AA%D8%A8%D8%A7%D8%B7%DB%8C-%D8%AF%D8%B1-%D9%86%D9%88%D8%A2%D9%88%D8%B1%D8%A7%D9%86-%D8%A7%D8%B1%D8%AA%D8%A8%D8%A7%D8%B7%D8%A7%D8%AA-%D8%AF%D9%88%D8%B1%D8%A7%D9%86?_ref=16&_t=38362e35352e3135342e3733,https://thumb2.jobinjacdn.com/tAlObEoeGrgv7ZIOilDjeVUmSoQ=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/bf5c2bca-be8d-11e6-a6e6-06a874001fea_afdfa7a7-216d-419e-819f-d1205b1b08e0/main.jpg
tafu,(Back-End Developer (.NET,تجارت الکترونیک پارسیان | Parsian E-commerce,تهران، تهران,"قرارداد
              تمام‌وقت (برای
                مشاهده حقوق وارد شوید)","قرارداد
              تمام‌وقت",(امروز),False,https://jobinja.ir/companies/parsian-e-commerce/jobs/tafu/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-back-end-developer-net-%D8%AF%D8%B1-%D8%AA%D8%AC%D8%A7%D8%B1%D8%AA-%D8%A7%D9%84%DA%A9%D8%AA%D8%B1%D9%88%D9%86%DB%8C%DA%A9-%D9%BE%D8%A7%D8%B1%D8%B3%DB%8C%D8%A7%D9%86?_ref=16&_t=38362e35352e3135342e3733,https://thumb2.jobinjacdn.com/JIh68X-owCuotumP0brTb_BoIT4=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/4b674e89-3d89-463c-9c6d-2744f618ed70/main.jpg
tafe,کارشناس Voip,نوآوران ارتباطات دوران | Douran Group,تهران، تهران,"قرارداد
              تمام‌وقت (برای
                مشاهده حقوق وارد شوید)","قرارداد
              تمام‌وقت",(امروز),False,https://jobinja.ir/companies/douran-group/jobs/tafe/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-voip-%D8%AF%D8%B1-%D9%86%D9%88%D8%A2%D9%88%D8%B1%D8%A7%D9%86-%D8%A7%D8%B1%D8%AA%D8%A8%D8%A7%D8%B7%D8%A7%D8%AA-%D8%AF%D9%88%D8%B1%D8%A7%D9%86?_ref=16&_t=38362e35352e3135342e3733,https://thumb2.jobinjacdn.com/tAlObEoeGrgv7ZIOilDjeVUmSoQ=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/bf5c2bca-be8d-11e6-a6e6-06a874001fea_afdfa7a7-216d-419e-819f-d1205b1b08e0/main.jpg
tasT,کارشناس اتوماسیون هوش مصنوعی,استارتاپ بنا | Startup Bana,تهران، تهران,"قرارداد
              دورکاری (برای
                مشاهده حقوق وارد شوید)","قرارداد
              دورکاری",(امروز),False,https://jobinja.ir/companies/startup-bana/jobs/tasT/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%B3%DB%8C%D9%88%D9%86-%D9%87%D9%88%D8%B4-%D9%85%D8%B5%D9%86%D9%88%D8%B9%DB%8C-%D8%AF%D8%B1-%D8%A7%D8%B3%D8%AA%D8%A7%D8%B1%D8%AA%D8%A7%D9%BE-%D8%A8%D9%86%D8%A7?_ref=16&_t=38362e35352e3135342e3733,https://thumb2.jobinjacdn.com/_K6xXZWlVPGDh4xVsmXHAvhOhQw=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/cdf1ec7d-97b4-401d-a524-ae05ee190fdf/main.jpg
ta09,Vue-Nuxt) Front-End Developer),آرت جو | Artjoo,تهران، تهران,"قرارداد
              تمام‌وقت (برای
                مشاهده حقوق وارد شوید)","قرارداد
              تمام‌وقت",(امروز),False,https://jobinja.ir/companies/artjoo/jobs/ta09/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-vue-nuxt-front-end-developer-%D8%AF%D8%B1-%D8%A2%D8%B1%D8%AA-%D8%AC%D9%88?_ref=16&_t=38362e35352e3135342e3733,https://thumb2.jobinjacdn.com/t48HSkuz0bj86_p51tBz0qmWOKs=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/94fdc8d1-d7aa-40d6-a920-c6a84ab2b1e0/main.png
taJm,طراح سایت (وردپرس),عرفان | Erfan,تهران، تهران,"قرارداد
              پاره‌وقت (برای
                مشاهده حقوق وارد شوید)","قرارداد
              پاره‌وقت",(امروز),True,https://jobinja.ir/companies/erfan-12/jobs/taJm/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%B7%D8%B1%D8%A7%D8%AD-%D8%B3%D8%A7%DB%8C%D8%AA-%D9%88%D8%B1%D8%AF%D9%BE%D8%B1%D8%B3-%D8%AF%D8%B1-%D8%B9%D8%B1%D9%81%D8%A7%D9%86?_ref=16&_t=38362e35352e3135342e3733,https://jobinja.ir/assets/img/logo-placeholder.png
taJf,اسکرام مستر (Scrum Master-بابلسر),داده‌نگار اقتصاد | DadeNegar Eghtesad,مازندران، بابلسر,"قرارداد
              تمام‌وقت (برای
                مشاهده حقوق وارد شوید)","قرارداد
              تمام‌وقت",(امروز),True,https://jobinja.ir/companies/daraei-holding/jobs/taJf/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A7%D8%B3%DA%A9%D8%B1%D8%A7%D9%85-%D9%85%D8%B3%D8%AA%D8%B1-scrum-master-%D8%A8%D8%A7%D8%A8%D9%84%D8%B3%D8%B1-%D8%AF%D8%B1-%D8%AF%D8%A7%D8%AF%D9%87-%D9%86%DA%AF%D8%A7%D8%B1-%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF?_ref=16&_t=38362e35352e3135342e3733,https://thumb2.jobinjacdn.com/6AeZCeGUl2ZLqprbVvDR7jb73dw=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/b3bdf863-9687-404d-a5f9-877c1d0f6a9b/main.png
taSX,توسعه‌دهنده ارشد فرانت‌اند(Senior Front-End Developer-کرج),درّین اندیشه توسعه آریا | Dorrin Arya,البرز، کرج,"قرارداد
              تمام‌وقت (برای
                مشاهده حقوق وارد شوید)","قرارداد
              تمام‌وقت",(امروز),True,https://jobinja.ir/companies/dorrin-arya/jobs/taSX/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%AA%D9%88%D8%B3%D8%B9%D9%87-%D8%AF%D9%87%D9%86%D8%AF%D9%87-%D8%A7%D8%B1%D8%B4%D8%AF-%D9%81%D8%B1%D8%A7%D9%86%D8%AA-%D8%A7%D9%86%D8%AF-senior-front-end-developer-%DA%A9%D8%B1%D8%AC-%D8%AF%D8%B1-%D8%AF%D8%B1-%DB%8C%D9%86-%D8%A7%D9%86%D8%AF%DB%8C%D8%B4%D9%87-%D8%AA%D9%88%D8%B3%D8%B9%D9%87-%D8%A2%D8%B1%DB%8C%D8%A7?_ref=16&_t=38362e35352e3135342e3733,https://thumb2.jobinjacdn.com/kLVZp3bYWuZNd0wbU98tvmYCj0w=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/78a32b31-1710-4f8c-810c-238426f7dfa0/main.png
taFz,React.js) Front-End Developer),کارنو | Karno,تهران، تهران,"قرارداد
              تمام‌وقت (برای
                مشاهده حقوق وارد شوید)","قرارداد
              تمام‌وقت",(امروز),True,https://jobinja.ir/companies/karno-11/jobs/taFz/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-react-js-front-end-developer-%D8%AF%D8%B1-%DA%A9%D8%A7%D8%B1%D9%86%D9%88?_ref=16&_t=38362e35352e3135342e3733,https://thumb2.jobinjacdn.com/F88QPH3jRkRmhCgR5aiBH4AOxOA=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/4bc07d0a-8a22-41f4-89f5-5a9cb66f30c9/main.png
