id,title,level,collaboration_type,salary,offers_remote,publish_time,company_name,logo,city_name,technologies
gkvpx,Software Engineer,Junior,تمام‌وقت,"۴۵,۰۰۰,۰۰۰ تا ۵۵,۰۰۰,۰۰۰",False,2026-06-21T13:03:55.961952+00:00,Punez AI,https://quera.org//media/CACHE/images/public/careers/logos/47150f4b1f104364bab9ce5d09474cf3/4ff503fa2b71d4d87ffe63eabecad4c1.png,تهران,"Python, Algorithm, Django, Database, Large Language Model (LLM)"
jk698,کارآموز مهندسی نرم‌افزار,Intern,تمام‌وقت,"۴۵,۰۰۰,۰۰۰ تا ۵۵,۰۰۰,۰۰۰",True,2026-06-17T09:41:36.572426+00:00,Ideapardazan afsoon,https://quera.org//media/CACHE/images/public/careers/logos/5b58838b188746d789e8f92f079497ca/c791a9367ef7667d8404c1e0f56fad41.png,,"Python, Large Language Model (LLM), Java, SQL, GitHub"
r9g8q,کارشناس اسکرام مستر/Agile Coach,Mid-Level,پاره‌وقت,,False,2026-06-16T08:21:29.048101+00:00,ایده پژوهان اسپادانا,https://quera.org//media/CACHE/images/public/careers/logos/aadf9cb2b7584b58a97227ff6d44b9f3/92b227de6bdf846ddc35eef4c04c6f7f.png,اصفهان,"Jira, Scrum"
vr69r,دستیار مدیر محصول,Junior,تمام‌وقت,,False,2026-06-14T08:47:38.084176+00:00,اتوموبی,https://quera.org//media/CACHE/images/public/careers/logos/1c82751dd9cd400297043264beecc45b/cb7eee36c42aa393019a38829bd4fa73.png,,"Next.js, Nestjs"
k9v6x,برنامه‌نویس بینایی ماشین، یادگیری ماشین,Senior,پروژه‌ای,,True,2026-06-14T06:39:01.593123+00:00,جاپکو,https://quera.org//media/CACHE/images/public/careers/logos/a18fd04f1e324ae589d332e4f69e5ea5/24d66ce82988023e00d2a67225cbc891.png,,"Machine Learning, Deep Learning, Python"
jk6x8,کارشناس رشد محصول و تولید محتوا,Mid-Level,تمام‌وقت,,True,2026-06-13T06:37:50.145395+00:00,scitechs,https://quera.org//media/CACHE/images/public/careers/logos/0f8444ce7e7940e6867ef32d0d1a2f08/4f15c6c82a1b06f55d3f0a2a747535a2.png,تهران,"Adobe Reader, Figma, Canvas, Google Analytics, Photoshop"
mvxq7,کاراموز مهندسی نرم افزار,Intern,تمام‌وقت,,False,2026-06-10T09:04:29.742712+00:00,سحاب,https://quera.org//media/CACHE/images/public/careers/logos/13d281bd6abb4005b75939789df3d831/dbd2fcc0cb732095a41431e6958e6fb0.png,تهران,"OOP, Java, Git, Data Structures, Design Patterns"
xmqw9,ادمین شبکه,Mid-Level,تمام‌وقت,,False,2026-06-07T07:01:57.565131+00:00,مانیرو,https://quera.org//media/CACHE/images/public/careers/logos/736659a2d5304504be3aaf240781282d/ce091b831c5f4790aafaf8540a867b83.png,تهران,"Dhcp, TCP, DNS"
8xp99,توسعه‌دهنده نرم‌افزار,Mid-Level,تمام‌وقت,"۴۰,۰۰۰,۰۰۰ تا ۵۰,۰۰۰,۰۰۰",True,2026-06-02T05:32:12.064234+00:00,scitechs,https://quera.org//media/CACHE/images/public/careers/logos/0f8444ce7e7940e6867ef32d0d1a2f08/4f15c6c82a1b06f55d3f0a2a747535a2.png,تهران,"Python, PostgreSQL, Docker, Go"
7rvgd,برنامه‌نویس Full-Stack,Mid-Level,تمام‌وقت,,False,2026-06-01T09:27:04.219483+00:00,مبین فناوران جی دیجی سان,https://quera.org//media/CACHE/images/public/careers/logos/72c9dd9f6f7a452e994fd83546ac8d84/0f1fa0be18ce80bcc6eebc495ca03bd7.png,اصفهان,"PHP, Laravel, React, Node.js, MongoDB"
qm8vx,توسعه‌دهنده موبایل React Native,Mid-Level,تمام‌وقت,,True,2026-06-01T08:36:54.936277+00:00,Prestige Club,https://quera.org//media/CACHE/images/public/careers/logos/7d456fbf7586428387d43ee2c902c3af/3b496b5ad35382625464c29804d5f250.png,,"React Native, JavaScript, TypeScript, REST, WebSocket"
r9krq,توسعه‌دهنده Back-end (Node.js),Senior,تمام‌وقت,,True,2026-06-01T08:34:49.816118+00:00,Prestige Club,https://quera.org//media/CACHE/images/public/careers/logos/7d456fbf7586428387d43ee2c902c3af/3b496b5ad35382625464c29804d5f250.png,,"Node.js, Express, PostgreSQL, REST, JWT Auth"
jkpv8,کارشناس ارشد الکترونیک و Embedded System,Mid-Level,تمام‌وقت,,False,2026-05-30T07:11:16.706873+00:00,نگارخودرو,https://quera.org//media/CACHE/images/public/careers/logos/fd33ea561ba24944a294e0dad7d86bab/d4601252e356790160615e9bd378034e.png,بابل,"C++, C"
xm8v9,Agile Project Manager & IT Sales,Junior,تمام‌وقت,,False,2026-05-30T06:36:36.037090+00:00,گروه کایا,https://quera.org//media/CACHE/images/public/careers/logos/e3ec70e2ee484bf79956711dc5c2aea9/d49d02f03f08032a438f31153ec8c51a.png,تهران,"React, Jira, Python, Node.js, React Native"
k9mrx,مهندس امنیت نرم افزار,Mid-Level,تمام‌وقت,,False,2026-05-30T06:27:19.281637+00:00,نگارخودرو,https://quera.org//media/CACHE/images/public/careers/logos/fd33ea561ba24944a294e0dad7d86bab/d4601252e356790160615e9bd378034e.png,,C
6q8dp,کارشناس ارشد تحلیل‌گر نرم افزار,Junior,تمام‌وقت,,False,2026-05-23T08:29:47.642758+00:00,سوپرپایپ اینترناشنال,https://quera.org//media/CACHE/images/public/careers/logos/04bc59c34eb84248afd79015e548f53a/85fb4a2f1a489b909cd9e8bf3399cd40.png,تهران,"Odoo, Erp, ORM, Data Modeling, SAP"
dkxrv,Full-Stack (JavaScript) Developer,Mid-Level,تمام‌وقت,,False,2026-05-09T12:06:08.574113+00:00,کریمان پردازش,https://quera.org//media/CACHE/images/public/careers/logos/7a0f3d84dfeb47c88199953cba06b401/bf742e404e764c5e25bfed718600a17b.png,کرمان,"JavaScript, Node.js, React, PostgreSQL, Serverside JavaScript"
8xpm9,Back-end-Oriented Full-Stack Developer,Lead,تمام‌وقت,,False,2026-05-04T09:05:15.337465+00:00,رادشید,https://quera.org//media/CACHE/images/public/careers/logos/eeac3a31e3294335963584bd120193b2/ae9649134e295ecc9650839387ea00d1.png,اصفهان,"Node.js, Docker"
jkpr8,توسعه پلتفرم معاملات الگوریتمیک کریپتو,Senior,پروژه‌ای,,True,2026-04-29T11:51:14.127942+00:00,جاپکو,https://quera.org//media/CACHE/images/public/careers/logos/a18fd04f1e324ae589d332e4f69e5ea5/24d66ce82988023e00d2a67225cbc891.png,,"Python, Machine Learning, Artificial Intelligence"
